# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 13.4505
# sub_a, sub_b = 27.253 -0.422153
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
  200  -7.82603  1.19980      2.020  0.000 +-  0.000  0.000      2.02      2.02
  201  -5.23374  3.41930      5.904  0.409 +-  0.000  0.000      0.40     -0.51
  202  -3.95464  4.29632      2.174  0.628 +-  0.000  0.000     -6.28    -10.80
  203  -1.56029  4.02347      7.031  0.379 +-  0.000  0.000      1.93     -2.91
  204  -9.66342  1.33729      2.463  0.000 +-  0.000  0.000      2.46      2.46
  205   6.08153  3.89047      4.657  0.180 +-  0.000  0.000      2.24      2.57
  206   1.19115  5.55943     13.292  0.429 +-  0.000  0.000      7.52      1.86
  207   4.45912  0.08711      2.081  0.379 +-  0.000  0.000     -3.02     -5.07
  208  -6.44609  4.60070      2.005  0.000 +-  0.000  0.000      2.01      2.01
  209  -9.96552  3.90481      2.840  0.000 +-  0.000  0.000      2.84      2.84
  210  -1.42952  0.04518      4.404  0.359 +-  0.000  0.000     -0.43     -5.07
  211  -4.81954  3.66914      6.257  0.239 +-  0.000  0.000      3.04      2.08
  212  -0.30881  3.90378     70.380  0.249 +-  0.000  0.000     67.03     63.59
  213  -0.00425  4.16597     11.062  0.519 +-  0.000  0.000      4.09     -3.07
